calories,distance,duration,start_time,end_time,steps,avg_pace
541,7125,2161,1710259945,1710262107,5651,5.05
798,10036,3060,1710423820,1710426881,7866,5.08
801,10028,2930,1710777547,1710780478,7819,4.87
725,10030,2974,1710946310,1710949289,7766,4.94
806,10036,3039,1711116962,1711120001,7783,5.05
585,10027,2892,1711292152,1711295044,7672,4.81
810,10032,3061,1711547520,1711550587,7895,5.09
785,10025,3082,1711892804,1711895885,7913,5.12
803,10020,3098,1712321691,1712324795,7927,5.15
562,7162,2144,1712427047,1712429192,5713,4.99
717,10030,2952,1712506415,1712509367,7856,4.91
838,10020,3206,1712674925,1712678166,0,5.33
841,10047,3046,1713110255,1713113300,0,5.05
469,7367,2147,1713719002,1713721151,5579,4.86
648,10177,2894,1713884970,1713887866,7896,4.74
645,10182,2872,1713976759,1713979633,7884,4.7
452,7209,2369,1714153723,1714326276,5664,5.48
662,10183,3064,1714326300,1714329365,8064,5.01
598,9240,2781,1714758030,1714761384,7532,5.02
657,10199,3017,1715088357,1715091376,7935,4.93
