Uid,Sid,Key,Time,Category,Value,UpdateTime
6598522265,xiaomisports_app,outdoor_running,1682255738,running,"{""time"":1682255738,""timezone"":4,""version"":1,""start_time"":1682255738,""end_time"":1682257083,""proto_type"":1,""sport_type"":1,""duration"":1204,""distance"":3628,""calories"":267,""max_pace"":218,""min_pace"":3256,""avg_pace"":331,""max_speed"":16.513762,""steps"":3053,""max_cadence"":0,""avg_cadence"":152,""avg_hrm"":170,""max_hrm"":181,""min_hrm"":106,""rise_height"":0,""fall_height"":0,""avg_height"":0,""max_height"":-100000,""min_height"":100000}",1684697156
6598522265,xiaomisports_app,outdoor_running,1682317672,running,"{""time"":1682317672,""timezone"":4,""version"":1,""start_time"":1682317672,""end_time"":1682319911,""proto_type"":1,""sport_type"":1,""duration"":2239,""distance"":6332,""calories"":487,""max_pace"":233,""min_pace"":2267,""avg_pace"":353,""max_speed"":15.408001,""steps"":5652,""max_cadence"":10680,""avg_cadence"":152,""avg_hrm"":164,""max_hrm"":180,""min_hrm"":107,""rise_height"":0,""fall_height"":0,""avg_height"":132,""max_height"":132,""min_height"":132}",1684697156
6598522265,xiaomisports_app,outdoor_running,1682360466,running,"{""time"":1682360466,""timezone"":4,""version"":1,""start_time"":1682360466,""end_time"":1682362773,""proto_type"":1,""sport_type"":1,""duration"":2308,""distance"":7186,""calories"":511,""max_pace"":197,""min_pace"":2325,""avg_pace"":321,""max_speed"":18.1836,""steps"":6119,""max_cadence"":11280,""avg_cadence"":159,""avg_hrm"":165,""max_hrm"":179,""min_hrm"":107,""rise_height"":0,""fall_height"":0,""avg_height"":143,""max_height"":143,""min_height"":143}",1684697156
6598522265,xiaomisports_app,outdoor_running,1682489018,running,"{""time"":1682489018,""timezone"":4,""version"":1,""start_time"":1682489018,""end_time"":1682491404,""proto_type"":1,""sport_type"":1,""duration"":2386,""distance"":7146,""calories"":542,""max_pace"":214,""min_pace"":2232,""avg_pace"":333,""max_speed"":16.7544,""steps"":6344,""max_cadence"":10800,""avg_cadence"":160,""avg_hrm"":171,""max_hrm"":191,""min_hrm"":107,""rise_height"":0,""fall_height"":0,""avg_height"":136,""max_height"":136,""min_height"":136}",1684697155
6598522265,xiaomisports_app,outdoor_running,1682529444,running,"{""time"":1682529444,""timezone"":4,""version"":1,""start_time"":1682529444,""end_time"":1682531851,""proto_type"":1,""sport_type"":1,""duration"":2372,""distance"":7169,""calories"":538,""max_pace"":219,""min_pace"":4347,""avg_pace"":330,""max_speed"":16.3836,""steps"":6085,""max_cadence"":10800,""avg_cadence"":155,""avg_hrm"":166,""max_hrm"":186,""min_hrm"":100,""rise_height"":0,""fall_height"":0,""avg_height"":133.5,""max_height"":135,""min_height"":132}",1684697155
6598522265,xiaomisports_app,outdoor_running,1682620871,running,"{""time"":1682620871,""timezone"":4,""version"":1,""start_time"":1682620871,""end_time"":1682623550,""proto_type"":1,""sport_type"":1,""duration"":2678,""distance"":7181,""calories"":423,""max_pace"":213,""min_pace"":1312,""avg_pace"":372,""max_speed"":16.8984,""steps"":6847,""max_cadence"":10440,""avg_cadence"":153,""avg_hrm"":105,""max_hrm"":173,""min_hrm"":81,""rise_height"":0,""fall_height"":0,""avg_height"":142,""max_height"":142,""min_height"":142}",1684697154
6598522265,xiaomisports_app,outdoor_running,1682861832,running,"{""time"":1682861832,""timezone"":4,""version"":1,""start_time"":1682861832,""end_time"":1682863674,""proto_type"":1,""sport_type"":1,""duration"":1841,""distance"":5207,""calories"":391,""max_pace"":231,""min_pace"":8695,""avg_pace"":353,""max_speed"":15.548399,""steps"":4745,""max_cadence"":10680,""avg_cadence"":157,""avg_hrm"":158,""max_hrm"":174,""min_hrm"":87,""rise_height"":0,""fall_height"":0,""avg_height"":140,""max_height"":140,""min_height"":140}",1684697154
6598522265,xiaomisports_app,outdoor_running,1682863962,running,"{""time"":1682863962,""timezone"":4,""version"":1,""start_time"":1682863962,""end_time"":1682864568,""proto_type"":1,""sport_type"":1,""duration"":605,""distance"":1693,""calories"":132,""max_pace"":269,""min_pace"":1647,""avg_pace"":357,""max_speed"":13.3596,""steps"":1629,""max_cadence"":10560,""avg_cadence"":162,""avg_hrm"":146,""max_hrm"":175,""min_hrm"":107,""rise_height"":0,""fall_height"":0,""avg_height"":137,""max_height"":137,""min_height"":137}",1684697152
6598522265,xiaomisports_app,outdoor_running,1682877300,running,"{""time"":1682877300,""timezone"":4,""version"":1,""start_time"":1682877300,""end_time"":1682879054,""proto_type"":1,""sport_type"":1,""duration"":1754,""distance"":4828,""calories"":402,""max_pace"":273,""min_pace"":4237,""avg_pace"":363,""max_speed"":13.176001,""steps"":4567,""max_cadence"":10440,""avg_cadence"":156,""avg_hrm"":172,""max_hrm"":182,""min_hrm"":109,""rise_height"":0,""fall_height"":0,""avg_height"":137,""max_height"":137,""min_height"":137}",1684697151
6598522265,xiaomisports_app,outdoor_running,1682964597,running,"{""time"":1682964597,""timezone"":4,""version"":1,""start_time"":1682964597,""end_time"":1682965016,""proto_type"":1,""sport_type"":1,""duration"":419,""distance"":1169,""calories"":87,""max_pace"":248,""min_pace"":1189,""avg_pace"":358,""max_speed"":14.472,""steps"":1080,""max_cadence"":0,""avg_cadence"":158,""avg_hrm"":155,""max_hrm"":181,""min_hrm"":81,""rise_height"":0,""fall_height"":0,""avg_height"":0,""max_height"":0,""min_height"":0}",1684697151
