Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс)
11:30:00.000+02:00,11:45:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,11,46.959025571496184,236.02402065175184,5.0,5,,,,0.7343729214973059,1.204510064076879,0.3411238500283891,336,,,,304664,243777
13:15:00.000+02:00,13:30:00.000+02:00,15,68.0,,15.0,15,,,,,,,,,,,900000,
13:30:00.000+02:00,13:45:00.000+02:00,4,30.4743507570077,134.3228053283964,2.0,2,,,,1.314492639090509,1.6062056259584414,1.1185557463928197,182,,,,103970,150260
13:45:00.000+02:00,14:00:00.000+02:00,6,37.04411205224245,304.1187664760454,1.0,1,,,,1.0795889046491678,1.4276457263968447,0.34112386092432223,427,,,,,384485
14:00:00.000+02:00,14:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,3,30.12636892054901,158.73791401433348,,,,,,0.6496868160468596,1.3703693876787564,0.34112389233927837,236,,,,,255068
14:30:00.000+02:00,14:45:00.000+02:00,7,36.56332077677476,239.09859153832315,,,,,,0.7608447551011861,1.18446165662183,0.3411238757670806,375,,,,,375490
14:45:00.000+02:00,15:00:00.000+02:00,7,16.49218712747097,326.3626066983934,1.0,1,,,,0.9697463273903615,1.4787916683694113,0.3183822926288399,464,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,9,16.49218712747097,447.62644405881935,1.0,1,,,,0.9296873564675704,1.6299417108969394,0.3411238882548568,640,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
