Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс)
14:00:00.000+01:00,14:15:00.000+01:00,8,51.94821265218081,448.0112616356623,1.0,1,,,,0.6896971159552898,2.279437320785766,0.24811780777618464,637,,,,368150,126244
14:15:00.000+01:00,14:30:00.000+01:00,5,16.49218712747097,253.7462738226538,,,,,,0.5735630133147035,1.4488898182335388,0.27019714371764464,386,,,,,
14:30:00.000+01:00,14:45:00.000+01:00,7,43.05928232572543,289.2492809801032,,,,,,0.5089952508650223,1.2161913214606594,0.27289910796757705,431,,,,497017,
14:45:00.000+01:00,15:00:00.000+01:00,5,16.492187127470974,207.59387266094836,,,,,,0.49050360935422516,1.292027921466677,0.27289910796757705,321,,,,,
15:00:00.000+01:00,15:15:00.000+01:00,5,16.492187127470974,289.4945724296499,,,,,,0.5376878023908711,1.2511112986535362,0.2483610394550002,414,,,,,
15:15:00.000+01:00,15:30:00.000+01:00,5,32.83884776967843,206.7633722908814,,,,,,0.5745703276353273,1.0716706274330072,0.34302960498717794,349,,,,305813,
15:30:00.000+01:00,15:45:00.000+01:00,7,16.49218712747097,261.4000217213104,,,,,,0.8077120423458799,1.5164902508310614,0.34112385191655553,382,,,,,
15:45:00.000+01:00,16:00:00.000+01:00,6,16.49218712747097,221.2321327696847,,,,,,0.5902755413462986,1.1075683128927782,0.3297530887941556,357,,,,,
16:00:00.000+01:00,16:15:00.000+01:00,6,16.49218712747097,269.7971126648924,,,,,,0.46101159772743416,1.0640531208981276,0.2956407002982085,402,,,,,
16:15:00.000+01:00,16:30:00.000+01:00,6,40.88466566010726,301.96650486652686,,,,,,0.7224594657402964,1.171108674141814,0.3411238757670806,455,,,,456334,
16:30:00.000+01:00,16:45:00.000+01:00,7,37.00311350504996,272.11268311675735,,,,,,0.6561820475448155,1.3859145972027085,0.2501575156369456,464,,,,383718,
16:45:00.000+01:00,17:00:00.000+01:00,12,48.2678251547797,395.75444951187797,,,,,,0.6476460329311486,1.574080160661265,0.3132189260896648,572,,,,594458,
17:00:00.000+01:00,17:15:00.000+01:00,8,64.6,311.2854832997427,,,,,,0.7143870418766779,1.1445980758699636,0.3411238793254253,474,,,,900000,
17:15:00.000+01:00,17:30:00.000+01:00,10,56.18925762237033,389.69171240495683,,,,,,0.6440927525748599,1.0639843555919488,0.30205774579867134,573,,,,742652,
17:30:00.000+01:00,17:45:00.000+01:00,5,56.70299561072353,201.38856544690765,,,,,,1.0241341226061114,1.2912360493034363,0.5899529143291928,355,,,,752263,
17:45:00.000+01:00,18:00:00.000+01:00,11,51.817363425369706,501.9924018364007,,,,,,0.8070045768678308,1.7367300541676418,0.34112385191655553,737,,,,660863,
18:00:00.000+01:00,18:15:00.000+01:00,1,21.71220554289285,99.88886071566426,1.0,1,,,,1.0636440559474307,1.3866345652786265,0.7406535466162348,135,,,,97656,
18:15:00.000+01:00,18:30:00.000+01:00,10,16.49218712747097,419.00402434015666,1.0,1,,,,0.7244961867912283,1.3443424041372793,0.3411238500283891,597,,,,,
18:30:00.000+01:00,18:45:00.000+01:00,9,16.49218712747097,368.8610514685213,,,,,,0.5725069351808075,1.1011696249767122,0.27289910796757705,548,,,,,
18:45:00.000+01:00,19:00:00.000+01:00,5,31.632960458186446,267.08278073054936,,,,,,0.4278952564506194,1.0184311347495032,0.2501575156369456,406,,,,283254,
19:00:00.000+01:00,19:15:00.000+01:00,9,16.49218712747097,358.2311403549608,,,,,,0.5469765099549628,1.1000534869472176,0.30701149646352416,553,,,,,
19:15:00.000+01:00,19:30:00.000+01:00,10,24.17560795947832,396.0480671427255,,,,,,0.5516033146410527,0.9664470169149252,0.34112387996931626,600,,,,143742,
19:30:00.000+01:00,19:45:00.000+01:00,12,61.57733266409358,488.6100990420591,1.0,1,,,,0.9190540099594483,1.5435924227241713,0.27289910796757705,717,,,,843452,
19:45:00.000+01:00,20:00:00.000+01:00,8,43.335170741583056,300.2158094983853,,,,,,0.6703276875161732,1.3396465560011546,0.3411238690817058,436,,,,502178,
20:00:00.000+01:00,20:15:00.000+01:00,5,61.34636170918002,249.60258371792682,,,,,,0.5960790007510431,1.1699415650077134,0.30701149646352416,404,,,,839131,
20:15:00.000+01:00,20:30:00.000+01:00,4,37.221255709864174,181.74117185689056,,,,,,0.3452525309201402,0.719588582867756,0.27289910796757705,317,,,,387799,
20:30:00.000+01:00,20:45:00.000+01:00,6,45.21053554245623,258.67223275497344,,,,,,0.645148816733863,1.0738704536475234,0.30701149646352416,416,,,,537263,
20:45:00.000+01:00,21:00:00.000+01:00,10,54.96170659723963,286.3500231389493,,,,,,0.4849336339943904,1.0184892966843804,0.34112385191655553,459,,,,719687,
21:00:00.000+01:00,21:15:00.000+01:00,9,64.6,321.9945172655334,,,,,,0.5459485629594566,0.9084107318880631,0.2501575156369456,496,,,,900000,
21:15:00.000+01:00,21:30:00.000+01:00,9,64.59465468745861,359.0127695225156,,,,,,0.5264384468874295,0.9732568038807824,0.28426990413289277,541,,,,899900,
21:30:00.000+01:00,21:45:00.000+01:00,12,61.38431342822392,369.31612592325354,,,,,,0.5051014672401616,0.7506003067679182,0.27473064760549876,540,,,,839841,
21:45:00.000+01:00,22:00:00.000+01:00,13,60.37346137352125,500.50848197990354,,,,,,0.639114617549408,1.3859146899007917,0.3411238655533137,739,,,,820930,
22:00:00.000+01:00,22:15:00.000+01:00,8,33.27449068776079,498.88054369129566,3.0,3,,,,0.8627104518225511,1.459706593271025,0.2615283118022613,691,,,,313963,
22:15:00.000+01:00,22:30:00.000+01:00,3,24.533247689737955,91.10795693834822,,,,,,0.9527176245992145,1.5643113836451152,0.3411238655533137,125,,,,150432,
22:30:00.000+01:00,22:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
22:45:00.000+01:00,23:00:00.000+01:00,4,28.576067924169053,282.596509570343,2.0,2,,,,1.325063223507803,1.5325952138815788,0.3315676799879574,376,,,,226065,
23:00:00.000+01:00,23:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
23:15:00.000+01:00,23:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
23:30:00.000+01:00,23:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
23:45:00.000+01:00,00:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
