Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг)
07:00:00.000+01:00,07:15:00.000+01:00,,,,,,,,,,,,,,,
07:15:00.000+01:00,07:30:00.000+01:00,,,,,,,,,,,,,,,
07:30:00.000+01:00,07:45:00.000+01:00,,,,,,,,,,,,13,,,
07:45:00.000+01:00,08:00:00.000+01:00,,,,,,,,,,,,13,,,
08:00:00.000+01:00,08:15:00.000+01:00,,,,,,,,,,,,,,,
08:15:00.000+01:00,08:30:00.000+01:00,,,,,,,,,,,,,,,
08:30:00.000+01:00,08:45:00.000+01:00,,,,,,,,,,,,,,,
08:45:00.000+01:00,09:00:00.000+01:00,,,,,,,,,,,,,,,
09:00:00.000+01:00,09:15:00.000+01:00,,,,,,,,,,,,,,,
09:15:00.000+01:00,09:30:00.000+01:00,,,,,,,,,,,,,,,
09:30:00.000+01:00,09:45:00.000+01:00,,,,,,,,,,,,,,,
09:45:00.000+01:00,10:00:00.000+01:00,,,,,,,,,,,,,,,
10:00:00.000+01:00,10:15:00.000+01:00,,,,,,,,,,,,,,,
10:15:00.000+01:00,10:30:00.000+01:00,,,,,,,,,,,,,,,
10:30:00.000+01:00,10:45:00.000+01:00,7,,317.4973416047489,2.0,2,,,,0.9488141991139303,1.3686425136027116,0.31382299240570233,481,,,
10:45:00.000+01:00,11:00:00.000+01:00,1,,24.241079433789174,,,,,,1.0629136854823469,1.0629136854823469,1.0629136854823469,60,,,
11:00:00.000+01:00,11:15:00.000+01:00,,,,,,,,,,,,,,,
11:15:00.000+01:00,11:30:00.000+01:00,,,,,,,,,,,,,,,
11:30:00.000+01:00,11:45:00.000+01:00,11,,438.0841280561645,2.0,1,,,,0.97286747007815,2.354131673666307,0.3138230133086137,616,,,
11:45:00.000+01:00,12:00:00.000+01:00,4,,310.0755305160464,3.0,3,,,,1.4606097723627594,1.6769137991911052,1.3185337969160038,424,,,
12:00:00.000+01:00,12:15:00.000+01:00,7,,384.91245305545925,4.0,4,,,,1.1570568273128354,1.4445658128296657,0.31382300242332367,548,,,
12:15:00.000+01:00,12:30:00.000+01:00,12,,619.6567105423615,4.0,4,,,,0.8441022637380146,1.4042699918534876,0.3138229689932555,916,,,
12:30:00.000+01:00,12:45:00.000+01:00,3,,146.4860860595032,,,,,,1.0038744793050878,1.3071904641847554,0.7005584944254204,230,,,
12:45:00.000+01:00,13:00:00.000+01:00,,,,,,,,,,,,,,,
13:00:00.000+01:00,13:15:00.000+01:00,1,,44.28474517380582,,,,,,0.2876710778570071,0.313822989554285,0.2615191661597292,101,,,
13:15:00.000+01:00,13:30:00.000+01:00,11,,567.8050216073093,3.0,3,,,,1.0308122635199604,1.477200139390741,0.43194499340802495,851,,,
13:30:00.000+01:00,13:45:00.000+01:00,11,,418.73822109728275,2.0,2,,,,0.7706295157008951,1.4436435825512735,0.36563106138745877,643,,,
13:45:00.000+01:00,14:00:00.000+01:00,9,,653.2819330147358,7.0,7,,,,1.357616237875136,1.4651965872590782,1.3010678465222654,913,,,
14:00:00.000+01:00,14:15:00.000+01:00,9,,559.5518196532,6.0,6,,,,1.2195436134600641,1.9769391694140852,0.3138230011193887,792,,,
14:15:00.000+01:00,14:30:00.000+01:00,6,,276.451959437991,2.0,2,,,,0.6773197522383687,1.614490941719678,0.3138229921539556,402,,,
14:30:00.000+01:00,14:45:00.000+01:00,5,,281.6474175891547,2.0,2,,,,0.7892596430560875,1.3126652699830321,0.25105839951334,418,,,
14:45:00.000+01:00,15:00:00.000+01:00,,,,,,,,,,,,,,,
15:00:00.000+01:00,15:15:00.000+01:00,5,,208.45398844939268,1.0,1,,,,0.9830964571500689,1.4723570988286223,0.3138230020257304,319,,,
15:15:00.000+01:00,15:30:00.000+01:00,,,,,,,,,,,,12,,,
15:30:00.000+01:00,15:45:00.000+01:00,4,,147.11621005636437,,,,,,0.6899782460810846,1.0661335007236283,0.3138229886798503,230,,,
15:45:00.000+01:00,16:00:00.000+01:00,4,,122.66145389437156,,,,,,0.49014622384254675,0.666469462900452,0.31382298478464155,195,,,
16:00:00.000+01:00,16:15:00.000+01:00,6,,152.92834293753486,,,,,,0.3337007727036078,0.6921172012020761,0.3138229722001215,243,,,
16:15:00.000+01:00,16:30:00.000+01:00,,,,,,,,,,,,,,,
16:30:00.000+01:00,16:45:00.000+01:00,,,,,,,,,,,,,,,
16:45:00.000+01:00,17:00:00.000+01:00,3,,105.32895656799367,,,,,,0.7427889563389308,1.1717549265184406,0.3138229861594211,161,,,
17:00:00.000+01:00,17:15:00.000+01:00,4,,134.08894303681552,,,,,,0.597910556692629,1.257668109032535,0.2544510861668566,206,,,
17:15:00.000+01:00,17:30:00.000+01:00,2,,137.3892916320185,1.0,1,,,,1.136376886957862,1.1608132424514002,1.1119405314643243,226,,,
17:30:00.000+01:00,17:45:00.000+01:00,,,,,,,,,,,,15,,,
17:45:00.000+01:00,18:00:00.000+01:00,,,,,,,,,,,,,,,
18:00:00.000+01:00,18:15:00.000+01:00,,,,,,,,,,,,,,,
18:15:00.000+01:00,18:30:00.000+01:00,,,,,,,,,,,,,,,
18:30:00.000+01:00,18:45:00.000+01:00,,,,,,,,,,,,,,,
18:45:00.000+01:00,19:00:00.000+01:00,3,,130.31773078170966,,,,,,0.7715663313075733,1.2942636116253834,0.31382299480089293,200,,,
19:00:00.000+01:00,19:15:00.000+01:00,2,,82.11369260501101,,,,,,0.37719965050229426,0.8545860800378442,0.28244069945250755,131,,,
19:15:00.000+01:00,19:30:00.000+01:00,9,,372.27970872009166,2.0,2,,,,0.9707194563723196,1.568180286175394,0.36823101077492876,570,,,
19:30:00.000+01:00,19:45:00.000+01:00,4,,96.98694755402067,,,,,,0.5778530443560959,0.8418830977772206,0.31382299093497124,165,,,
19:45:00.000+01:00,20:00:00.000+01:00,7,,273.73724196089955,1.0,1,,,,0.7595715654535566,1.2897195160996466,0.31382297643776585,410,,,
20:00:00.000+01:00,20:15:00.000+01:00,,,25.929911617133293,,,,,,0.2615191661597292,0.2615191661597292,0.2615191661597292,71,,,
20:15:00.000+01:00,20:30:00.000+01:00,,,21.339963958633902,,,,,,0.31382298994006497,0.31382298994006497,0.31382298994006497,34,,,
20:30:00.000+01:00,20:45:00.000+01:00,,,,,,,,,,,,,,,
20:45:00.000+01:00,21:00:00.000+01:00,,,,,,,,,,,,10,,,
21:00:00.000+01:00,21:15:00.000+01:00,,,,,,,,,,,,,,,
21:15:00.000+01:00,21:30:00.000+01:00,,,,,,,,,,,,,,,
21:30:00.000+01:00,21:45:00.000+01:00,,,,,,,,,,,,,,,
21:45:00.000+01:00,22:00:00.000+01:00,,,,,,,,,,,,,,,
22:00:00.000+01:00,22:15:00.000+01:00,,,,,,,,,,,,23,,,
22:15:00.000+01:00,22:30:00.000+01:00,,,,,,,,,,,,,,,
22:30:00.000+01:00,22:45:00.000+01:00,,,,,,,,,,,,,,,
22:45:00.000+01:00,23:00:00.000+01:00,,,,,,,,,,,,,,,
23:00:00.000+01:00,23:15:00.000+01:00,,,,,,,,,,,,,,,
23:15:00.000+01:00,23:30:00.000+01:00,,,,,,,,,,,,,,,
23:30:00.000+01:00,23:45:00.000+01:00,,,,,,,,,,,,,,,
23:45:00.000+01:00,00:00:00.000+01:00,,,,,,,,,,,,,,,
