Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс)
00:00:00.000+02:00,00:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
09:30:00.000+02:00,09:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
10:00:00.000+02:00,10:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
10:15:00.000+02:00,10:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
10:45:00.000+02:00,11:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
11:00:00.000+02:00,11:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
11:15:00.000+02:00,11:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
11:30:00.000+02:00,11:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
11:45:00.000+02:00,12:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
12:00:00.000+02:00,12:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
12:15:00.000+02:00,12:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
12:30:00.000+02:00,12:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
12:45:00.000+02:00,13:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
13:00:00.000+02:00,13:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
13:15:00.000+02:00,13:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
13:45:00.000+02:00,14:00:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
14:00:00.000+02:00,14:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
14:30:00.000+02:00,14:45:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
14:45:00.000+02:00,15:00:00.000+02:00,1,16.492187127470974,28.654406336595592,,,,,,0.34112389327639675,0.34112389327639675,0.34112389327639675,42,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,16.492187127470974,,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,5,26.130052905228023,218.05186966069436,1.0,1,,,,0.7611746025254155,1.5192619220448331,0.3411238655533137,312,,,,180305,
15:30:00.000+02:00,15:45:00.000+02:00,2,21.315048821067418,78.8300860570908,,,,,,1.544047411677735,1.544047411677735,1.544047411677735,134,,,,90226,
15:45:00.000+02:00,16:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
16:00:00.000+02:00,16:15:00.000+02:00,,16.49218712747097,36.15913180570396,,,,,,0.2805770199235077,0.29962572804475407,0.2615283118022613,76,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,16.49218712747097,,,,,,,,,,10,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
18:30:00.000+02:00,18:45:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
18:45:00.000+02:00,19:00:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
19:00:00.000+02:00,19:15:00.000+02:00,7,39.886909621131004,493.0515063814345,5.0,5,,,,1.0921764309780444,1.5713706494368123,0.2615283118022613,701,,,,437668,
19:15:00.000+02:00,19:30:00.000+02:00,15,64.6,877.7140648260036,7.0,7,,,,0.9638961173209186,1.556662179779864,0.39576498683342193,1178,,,,900000,
19:30:00.000+02:00,19:45:00.000+02:00,11,64.6,672.6783553466587,4.0,4,,,,1.0635465330120148,1.456206377655281,0.28426990413289277,918,,,,900000,
19:45:00.000+02:00,20:00:00.000+02:00,6,30.75321372227806,333.29855515071824,1.0,1,,,,0.8825163090694029,1.4637158893411426,0.38644312405295406,461,,,,266795,
20:00:00.000+02:00,20:15:00.000+02:00,7,70.65269959809933,911.6749643278789,9.0,5,,,,2.164244707455994,3.3135644359088747,0.40769723075606135,887,,,,110945,231970
20:15:00.000+02:00,20:30:00.000+02:00,15,203.61612524198054,2905.386475410226,30.0,15,,,,3.2299803336803867,3.5590760213913386,2.7177543569096425,2478,,,,,900000
20:30:00.000+02:00,20:45:00.000+02:00,15,203.61612524198054,2616.0223697352944,30.0,15,,,,2.887101078288285,3.2504717455335985,2.01296139289975,2352,,,,,900000
20:45:00.000+02:00,21:00:00.000+02:00,3,53.20927815279149,324.62641453100446,3.0,2,,,,1.6211294848515816,3.1151541714010715,0.738586457867939,346,,,,187110,128492
21:00:00.000+02:00,21:15:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,16.49218712747097,,,,,,,,,,11,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,16.49218712747097,,,,,,,,,,14,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,19.701085152319486,19.102937557730392,,,,,,0.3183822926288399,0.3183822926288399,0.3183822926288399,56,,,,60032,
22:00:00.000+02:00,22:15:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,16.49218712747097,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,16.49218712747097,,,,,,,,,,4,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,16.49218712747097,,,,,,,,,,6,,,,,
