Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс)
00:00:00.000+01:00,00:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
00:15:00.000+01:00,00:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
00:30:00.000+01:00,00:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
00:45:00.000+01:00,01:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:00:00.000+01:00,01:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:15:00.000+01:00,01:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:30:00.000+01:00,01:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
01:45:00.000+01:00,02:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:00:00.000+01:00,02:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:15:00.000+01:00,02:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:30:00.000+01:00,02:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
02:45:00.000+01:00,03:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:00:00.000+01:00,03:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:15:00.000+01:00,03:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:30:00.000+01:00,03:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
03:45:00.000+01:00,04:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:00:00.000+01:00,04:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:15:00.000+01:00,04:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:30:00.000+01:00,04:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
04:45:00.000+01:00,05:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:00:00.000+01:00,05:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:15:00.000+01:00,05:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:30:00.000+01:00,05:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
05:45:00.000+01:00,06:00:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
06:00:00.000+01:00,06:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
06:15:00.000+01:00,06:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
06:30:00.000+01:00,06:45:00.000+01:00,,16.49218712747097,21.831928637406165,,,,,,0.3411238631275441,0.3411238631275441,0.3411238631275441,32,,,,,
06:45:00.000+01:00,07:00:00.000+01:00,,27.216166960513483,31.476629244447963,,,,,,0.3411238746856229,0.3411238746856229,0.3411238746856229,45,,,,200624,
07:00:00.000+01:00,07:15:00.000+01:00,,21.22754605476483,,,,,,,,,,,,,,88589,
07:15:00.000+01:00,07:30:00.000+01:00,3,30.7753654330715,239.38790788253488,2.0,2,,,,0.9801042080370402,1.5044640676099508,0.28426990413289277,324,,,,267209,
07:30:00.000+01:00,07:45:00.000+01:00,,17.881487310104195,11.179408021793465,,,,,,,,,19,,,,25991,
07:45:00.000+01:00,08:00:00.000+01:00,5,32.58478506458607,173.16948246127117,,,,,,0.88264422921072,1.4235087175772927,0.3385390716121375,245,,,,301060,
08:00:00.000+01:00,08:15:00.000+01:00,8,49.71004393157271,873.5732131635594,12.0,8,,,,1.6512324547377417,1.907781948172054,0.3183822926288399,1060,,,,621439,
08:15:00.000+01:00,08:30:00.000+01:00,,16.492187127470967,,,,,,,,,,16,,,,,
08:30:00.000+01:00,08:45:00.000+01:00,,16.492187127470967,,,,,,,,,,,,,,,
08:45:00.000+01:00,09:00:00.000+01:00,,16.492187127470967,4.993800806364331,,,,,,,,,7,,,,,
09:00:00.000+01:00,09:15:00.000+01:00,1,18.568092706046013,49.529003453894155,,,,,,0.7445398382096597,1.1479557955216022,0.3411238808977172,85,,,,38836,
09:15:00.000+01:00,09:30:00.000+01:00,,16.492187127470974,,,,,,,,,,,,,,,
09:30:00.000+01:00,09:45:00.000+01:00,,16.492187127470974,,,,,,,,,,,,,,,
09:45:00.000+01:00,10:00:00.000+01:00,,16.492187127470974,,,,,,,,,,,,,,,
10:00:00.000+01:00,10:15:00.000+01:00,,16.49218712747097,,,,,,,,,,11,,,,,
10:15:00.000+01:00,10:30:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
10:30:00.000+01:00,10:45:00.000+01:00,1,16.49218712747097,40.01977701128843,,,,,,0.7052494095970687,1.069374943427057,0.3411238757670806,58,,,,,
10:45:00.000+01:00,11:00:00.000+01:00,,16.49218712747097,,,,,,,,,,18,,,,,
11:00:00.000+01:00,11:15:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
11:15:00.000+01:00,11:30:00.000+01:00,1,16.49218712747097,62.37270103624694,,,,,,0.8753757990556595,1.4096277048349224,0.34112389327639675,87,,,,,
11:30:00.000+01:00,11:45:00.000+01:00,,16.492187127470967,,,,,,,,,,,,,,,
11:45:00.000+01:00,12:00:00.000+01:00,,16.492187127470967,,,,,,,,,,,,,,,
12:00:00.000+01:00,12:15:00.000+01:00,,16.492187127470967,,,,,,,,,,,,,,,
12:15:00.000+01:00,12:30:00.000+01:00,,16.492187127470967,,,,,,,,,,,,,,,
12:30:00.000+01:00,12:45:00.000+01:00,,16.49218712747097,40.93486619513656,,,,,,0.2956406957020131,0.3411238757670806,0.2501575156369456,60,,,,,
12:45:00.000+01:00,13:00:00.000+01:00,,16.492187127470974,18.65342600828348,,,,,,,,,27,,,,,
13:00:00.000+01:00,13:15:00.000+01:00,12,60.11875723092392,733.1475552411516,5.0,5,,,,1.1123703202649293,1.6246182910498366,0.3411238554024013,955,,,,816165,
13:15:00.000+01:00,13:30:00.000+01:00,4,34.065650451053344,273.0760366238835,2.0,2,,,,1.222064622564366,1.5611585293868513,0.6697760708671049,366,,,,328764,
13:30:00.000+01:00,13:45:00.000+01:00,,16.49218712747097,,,,,,,,,,,,,,,
13:45:00.000+01:00,14:00:00.000+01:00,4,27.731325816963675,254.55480595353905,1.0,1,,,,1.0170657844380337,1.937141951018859,0.3411238721798063,341,,,,62208,61018
