Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс)
00:00:00.000+02:00,00:15:00.000+02:00,,16.49218712747097,0.0,,,55.416666666666664,59.0,52.0,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.49218712747097,0.0,,,56.285714285714285,64.0,53.0,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.49218712747097,0.0,,,58.083333333333336,71.0,53.0,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.49218712747097,0.0,,,55.214285714285715,63.0,52.0,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.49218712747097,0.0,,,55.916666666666664,64.0,52.0,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.49218712747097,0.0,,,56.785714285714285,78.0,50.0,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.49218712747097,0.0,,,56.5,63.0,52.0,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.49218712747097,0.0,,,60.857142857142854,80.0,53.0,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.49218712747097,0.0,,,57.25,75.0,52.0,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.49218712747097,0.0,,,53.5,56.0,52.0,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.49218712747097,0.0,,,54.083333333333336,56.0,52.0,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.49218712747097,0.0,,,53.142857142857146,55.0,49.0,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.49218712747097,0.0,,,54.5,59.0,49.0,0.0,0.0,0.0,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.49218712747097,0.0,,,52.42857142857143,56.0,48.0,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.49218712747097,0.0,,,51.583333333333336,63.0,48.0,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,16.49218712747097,0.0,,,52.42857142857143,56.0,48.0,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,16.49218712747097,0.0,,,57.166666666666664,95.0,48.0,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,16.49218712747097,0.0,,,53.07142857142857,75.0,50.0,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,16.49218712747097,0.0,,,56.75,75.0,50.0,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,16.49218712747097,0.0,,,60.07142857142857,72.0,52.0,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,16.49218712747097,0.0,,,53.642857142857146,68.0,49.0,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,16.49218712747097,0.0,,,62.857142857142854,83.0,51.0,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,16.49218712747097,0.0,,,57.32142857142857,73.0,50.0,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,16.49218712747097,0.0,,,55.25,69.0,49.0,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,4,29.32093722681205,141.7846153846154,,,76.64285714285714,91.0,54.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,209,,,,240000,
06:15:00.000+02:00,06:30:00.000+02:00,,16.492187127470974,70.84615384615385,,,76.67857142857143,90.0,59.0,,,,104,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,16.492187127470974,70.84615384615385,,,79.32142857142857,89.0,73.0,0.07871794871794872,0.07871794871794872,0.07871794871794872,104,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,16.492187127470974,70.84615384615385,,,84.42857142857143,107.0,71.0,,,,104,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,2,16.57894312952246,127.81978021978023,,,91.96428571428571,105.0,73.0,,,,188,,,,120000,
07:15:00.000+02:00,07:30:00.000+02:00,8,24.861377010787372,314.169983462852,1.0,1,81.42857142857143,94.0,75.0,0.6982495461733959,1.3238733596298982,0.43350858373856305,444,,,,452513,
07:30:00.000+02:00,07:45:00.000+02:00,,16.49218712747097,183.8372093023256,,,79.75,89.0,72.0,0.20426356589147288,0.20426356589147288,0.20426356589147288,241,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,2,28.66635025299317,183.8372093023256,,,80.35714285714286,90.0,75.0,0.5349372947932424,0.725318211145822,0.34455637844066284,240,,,,227754,
08:00:00.000+02:00,08:15:00.000+02:00,11,50.85972444228334,922.6109335825395,9.0,8,94.0,120.0,79.0,1.387860910128257,1.8,0.3391871732933049,1202,,,,701815,
08:15:00.000+02:00,08:30:00.000+02:00,,17.769823609674706,27.575757575757578,,,78.64285714285714,85.0,73.0,,,,40,,,,23902,
08:30:00.000+02:00,08:45:00.000+02:00,,16.49218712747097,27.575757575757578,,,80.14285714285714,89.0,72.0,,,,40,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,16.49218712747097,27.575757575757578,,,75.5,88.0,71.0,,,,40,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,3,22.754124524526507,27.575757575757578,,,75.83333333333333,82.0,71.0,0.03063973063973064,0.03063973063973064,0.03063973063973064,40,,,,117149,
09:15:00.000+02:00,09:30:00.000+02:00,,17.42243186904944,27.575757575757578,,,77.0,78.0,76.0,,,,40,,,,17403,
09:30:00.000+02:00,09:45:00.000+02:00,,16.49218712747097,27.575757575757578,,,,,,,,,40,,,,,
09:45:00.000+02:00,10:00:00.000+02:00,9,33.457750711481495,506.5587324247401,2.0,2,82.95,95.0,72.0,1.1108603037668197,1.597125469991609,0.43020074716942586,635,,,,564898,
10:00:00.000+02:00,10:15:00.000+02:00,6,24.746154388781648,398.02536143233857,2.0,2,83.17857142857143,111.0,73.0,1.4401090418506695,1.4751354780896135,1.4125815104239239,499,,,,331205,
10:15:00.000+02:00,10:30:00.000+02:00,,16.492187127470974,34.35294117647059,,,72.85714285714286,88.0,66.0,,,,50,,,,,
10:30:00.000+02:00,10:45:00.000+02:00,2,16.492187127470974,34.35294117647059,,,77.82142857142857,90.0,66.0,,,,50,,,,,
