name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Warszaw,2023-05-01,17.1,2.6,10.8,17.1,1.7,10.3,-0.7,47.8,0,0,0,,0,0,28.8,15.2,128.3,1020.4,33.7,18.6,267.9,23.2,7,10,2023-05-01T05:06:19,2023-05-01T20:01:05,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-02,19.1,6.2,13.3,19.1,4.2,12.7,4.8,57.1,0,0,0,rain,0,0,50.4,24.9,235.3,1017.1,81.2,18.4,165.8,14.4,6,10,2023-05-02T05:04:24,2023-05-02T20:02:46,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-03,14.7,6.8,11,14.7,5.7,10.5,1.2,53.7,0.966,100,4.17,rain,0,0,36.2,18.5,329.8,1025,52.5,18.4,238.1,20.4,7,10,2023-05-03T05:02:30,2023-05-03T20:04:27,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-04,17.2,1.9,10.8,17.2,1.9,10.8,-0.3,51.2,0,0,0,,0,0,12.6,9.2,97.6,1024.9,49.3,17.2,220.4,19,7,10,2023-05-04T05:00:37,2023-05-04T20:06:08,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-05,16,7.7,11.8,16,7.2,11.5,2.1,52.4,0,0,0,,0,0,36,23.7,56,1023.1,77.4,18.9,229.5,19.8,8,10,2023-05-05T04:58:46,2023-05-05T20:07:48,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-06,11.1,5.8,8.1,11.1,2.3,5.6,2.5,69.4,10.625,100,8.33,rain,0,0.3,43.4,27.5,77.8,1022.7,89.8,15.6,54.5,4.6,2,10,2023-05-06T04:56:56,2023-05-06T20:09:28,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-07,11.8,5,7.7,11.8,1,5.6,3,74.1,5.795,100,4.17,rain,0,0,46.8,25.1,75.2,1025.4,67.1,16.8,160.1,13.9,6,10,2023-05-07T04:55:08,2023-05-07T20:11:07,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-08,15.3,2,9,15.3,2,8.7,0.5,60.3,0,0,0,,0,0,31.7,14.5,94.4,1030.3,18.7,17.5,242.5,21,9,10,2023-05-08T04:53:21,2023-05-08T20:12:46,0.6,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-09,16.9,2.7,11,16.9,2.7,10.8,-0.9,49.5,0,0,0,,0,0,46.8,23.8,122.8,1027,7.5,17.8,287,24.7,8,10,2023-05-09T04:51:37,2023-05-09T20:14:24,0.63,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-10,17.7,4.8,12.5,17.7,2,11.7,-1,41.5,0,0,0,,0,0,53.8,29.7,114.2,1021.4,9.5,18.9,286.8,24.8,8,10,2023-05-10T04:49:53,2023-05-10T20:16:02,0.67,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-11,19,6.4,13.4,19,4.2,12.7,-0.9,39,0,0,0,,0,0,50.4,29,109.3,1021.5,12.1,18.9,288.5,25.1,8,10,2023-05-11T04:48:12,2023-05-11T20:17:38,0.7,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-12,20.1,7.8,14.7,20.1,5.5,14.2,0.4,39.9,0,0,0,,0,0,56.8,33.8,103.5,1023.5,16.6,18.7,276.7,23.8,8,10,2023-05-12T04:46:33,2023-05-12T20:19:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-13,22.4,8.2,16,22.4,8.2,16,3.3,45.8,0,0,0,rain,0,0,68.4,24.6,92.6,1023.8,43.7,18.6,256.4,22,8,10,2023-05-13T04:44:55,2023-05-13T20:20:50,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-14,22.9,8.2,16.6,22.9,8,16.5,4.8,50.4,0,0,0,,0,0,49.7,28.8,116.2,1020.1,39,17.9,269.6,23.3,8,10,2023-05-14T04:43:19,2023-05-14T20:22:24,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-15,16.1,12.2,13.9,16.1,12.2,13.9,9,75,7.727,100,4.17,rain,0,0,43.2,21.9,112.1,1009.7,81.7,14.8,52.3,4.6,2,10,2023-05-15T04:41:46,2023-05-15T20:23:58,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-16,17.6,10.2,14.4,17.6,10.2,14.4,9.7,74.8,1.932,100,4.17,rain,0,0,39.6,21.2,235.1,1011.2,70.8,17.8,148.5,12.9,4,10,2023-05-16T04:40:14,2023-05-16T20:25:31,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-17,14.3,10.7,12.4,14.3,10.7,12.4,10.5,88.5,8.692,100,12.5,rain,0,0,39.6,19.9,339.7,1016.8,80,12.2,55.3,4.8,2,10,2023-05-17T04:38:44,2023-05-17T20:27:02,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-18,13.5,5.9,10.6,13.5,4.1,9.8,4.8,67.8,0.5,100,8.33,rain,0,0,36,20.5,7.5,1025.4,76.7,17.9,161.4,13.9,5,10,2023-05-18T04:37:17,2023-05-18T20:28:33,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-19,14,10,12,14,10,12,9.3,83.7,0.772,100,8.33,rain,0,0,22.3,14.4,39.3,1027.1,92.9,17.4,68.1,5.9,2,10,2023-05-19T04:35:52,2023-05-19T20:30:02,0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-20,23.7,12.6,18.2,23.7,12.6,18.2,11.3,66.2,0,0,0,rain,0,0,28.8,19.8,85.9,1025.8,65.8,17.9,233.1,20,8,10,2023-05-20T04:34:29,2023-05-20T20:31:31,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-21,22.9,12,18.3,22.9,12,18.3,7,50.6,0,0,0,,0,0,31.3,20.2,92.2,1022.7,27.5,18.8,296.3,25.7,8,10,2023-05-21T04:33:08,2023-05-21T20:32:58,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-22,22.3,10.6,17.6,22.3,10.6,17.6,6.5,50.4,0,0,0,,0,0,26.3,13.3,114.7,1019.1,53.6,19.1,240.5,20.8,7,10,2023-05-22T04:31:50,2023-05-22T20:34:23,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-23,23.5,10.2,18.5,23.5,10.2,18.5,6.9,50.5,0,0,0,,0,0,43.2,21.2,114.5,1013.8,46.4,18.5,289.5,25,8,10,2023-05-23T04:30:34,2023-05-23T20:35:48,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-24,25.4,14.3,19,25.4,14.3,19,10,57.1,0,0,0,rain,0,0,50.4,18.1,201.9,1014.7,65.7,17.9,194,16.7,6,10,2023-05-24T04:29:20,2023-05-24T20:37:11,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-25,22.8,12.1,16.6,22.8,12.1,16.6,12.6,78.7,0,0,0,,0,0,28.1,16.5,271.5,1020.2,65.9,12.5,149.5,13,6,10,2023-05-25T04:28:09,2023-05-25T20:38:32,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-05-26,21,14.1,17.9,21,14.1,17.9,8.7,56.5,0,0,0,rain,0,0,39.2,24.1,320.5,1021.6,51.7,18.8,276,23.7,8,10,2023-05-26T04:27:01,2023-05-26T20:39:51,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
